,0
0,0.735537190083
1,0.773333333333
2,0.785714285714
3,0.75
4,0.785714285714
5,0.785234899329
6,0.682926829268
7,0.796610169492
8,0.787878787879
9,0.81981981982
10,0.815789473684
11,0.761538461538
12,0.747747747748
13,0.714285714286
14,0.728682170543
15,0.741379310345
16,0.813432835821
17,0.7
18,0.741379310345
19,0.777777777778
20,0.759689922481
21,0.725663716814
22,0.736842105263
23,0.820754716981
24,0.726495726496
25,0.76724137931
26,0.818181818182
27,0.792452830189
28,0.81981981982
29,0.753623188406
30,0.699029126214
31,0.743801652893
32,0.796875
33,0.733870967742
34,0.7
35,0.625
36,0.7578125
37,0.663461538462
38,0.741379310345
39,0.765217391304
40,0.697478991597
41,0.737288135593
42,0.691729323308
43,0.702479338843
44,0.67619047619
45,0.742574257426
46,0.796610169492
47,0.747899159664
48,0.816176470588
49,0.783333333333
50,0.728155339806
51,0.649572649573
52,0.794642857143
53,0.776859504132
54,0.761904761905
55,0.72268907563
56,0.744
57,0.692857142857
58,0.759398496241
59,0.768707482993
60,0.786885245902
61,0.763358778626
62,0.727272727273
63,0.762711864407
64,0.739130434783
65,0.814432989691
66,0.763358778626
67,0.822429906542
68,0.605504587156
69,0.822033898305
70,0.739130434783
71,0.763358778626
72,0.8125
73,0.792307692308
74,0.834532374101
75,0.650793650794
76,0.752577319588
77,0.765217391304
78,0.771428571429
79,0.786324786325
80,0.776699029126
81,0.702479338843
82,0.798387096774
83,0.818965517241
84,0.734042553191
85,0.739837398374
86,0.775862068966
87,0.801652892562
88,0.772277227723
89,0.834532374101
90,0.744
91,0.788617886179
92,0.793103448276
93,0.796116504854
94,0.655172413793
95,0.669491525424
96,0.770491803279
97,0.679611650485
98,0.792792792793
99,0.75
100,0.72268907563
101,0.757575757576
102,0.838709677419
103,0.765217391304
104,0.844660194175
105,0.755905511811
106,0.783783783784
107,0.764227642276
108,0.742574257426
109,0.612612612613
110,0.79347826087
111,0.723076923077
112,0.839622641509
113,0.791208791209
114,0.780701754386
115,0.803571428571
116,0.78813559322
117,0.803571428571
118,0.784482758621
119,0.730769230769
120,0.730496453901
121,0.772277227723
122,0.708333333333
123,0.801470588235
124,0.758620689655
125,0.786885245902
126,0.76404494382
127,0.734513274336
128,0.798387096774
129,0.791304347826
130,0.754545454545
131,0.76
132,0.692307692308
133,0.772357723577
134,0.769230769231
135,0.747899159664
136,0.75
137,0.701923076923
138,0.823529411765
139,0.714285714286
140,0.730769230769
141,0.806451612903
142,0.84693877551
143,0.735042735043
144,0.688524590164
145,0.794642857143
146,0.778761061947
147,0.742857142857
148,0.794642857143
149,0.722627737226
150,0.739130434783
151,0.737288135593
152,0.720338983051
153,0.759689922481
154,0.753846153846
155,0.747967479675
156,0.722222222222
157,0.794117647059
158,0.726315789474
159,0.8
160,0.780952380952
161,0.810344827586
162,0.814516129032
163,0.751724137931
164,0.75
165,0.782178217822
166,0.754385964912
167,0.680327868852
168,0.785123966942
169,0.77304964539
170,0.723214285714
171,0.672897196262
172,0.8
173,0.747826086957
174,0.7734375
175,0.80985915493
176,0.776859504132
177,0.774193548387
178,0.803418803419
179,0.810810810811
180,0.735714285714
181,0.776785714286
182,0.747826086957
183,0.768595041322
184,0.792079207921
185,0.733333333333
186,0.755905511811
187,0.768595041322
188,0.785046728972
189,0.775862068966
190,0.817518248175
191,0.776923076923
192,0.766917293233
193,0.792
194,0.747967479675
195,0.766423357664
196,0.69
197,0.780487804878
198,0.715596330275
199,0.738317757009
200,0.814516129032
201,0.785714285714
202,0.778625954198
203,0.75
204,0.771186440678
205,0.770491803279
206,0.778761061947
207,0.76
208,0.811965811966
209,0.813725490196
210,0.813953488372
211,0.737588652482
212,0.828828828829
213,0.813008130081
214,0.732142857143
215,0.736363636364
216,0.77358490566
217,0.746153846154
218,0.782258064516
219,0.754901960784
220,0.770491803279
221,0.702290076336
222,0.814814814815
223,0.828571428571
224,0.766129032258
225,0.833333333333
226,0.778571428571
227,0.739495798319
228,0.784
229,0.734848484848
230,0.725663716814
231,0.68932038835
232,0.714285714286
233,0.761904761905
234,0.806451612903
235,0.739495798319
236,0.777777777778
237,0.792
238,0.802919708029
239,0.761194029851
240,0.761061946903
241,0.716814159292
242,0.726495726496
